id;name;lat;lon;cat;subcat;url
1;Cmentarz Bieliny;52.3517083;20.1638947;cmentarz;protestancki;
2;cmentarz protestancki Borki;52.4493858;19.7989278;cmentarz;protestancki;
3;Cmentarz protestancki Nowe Wymyśle;52.4235785;19.8481389;cmentarz;protestancki;
4;cmentarz protestancki Piotrkówek;52.4006242;19.9572448;cmentarz;protestancki;
5;Cmentarz protestancki Sady;52.4280378;19.8804246;cmentarz;protestancki;
6;Cmentarz Januszew;52.3656317;20.1498249;cmentarz;protestancki;
7;Cmentarz Nowa Wieś;52.3431166;20.1306449;cmentarz;protestancki;
8;Cmentarz olederski Nowy Troszyn;52.4574321;19.8555148;cmentarz;protestancki;
9;Cmentarz olęderski Budy Dolne;52.4991419;19.7096294;cmentarz;protestancki;
10;Cmentarz olęderski Nowosiadlo Słubice;52.4282725;19.9225361;cmentarz;protestancki;
11;Cmentarz olęderski Zyck Nowy;52.4137002;19.9207197;cmentarz;protestancki;
12;Cmentarz olęderski Świniary;52.4374567;19.9005092;cmentarz;protestancki;
13;Dawny zbór mennonicki;52.465011;19.833646;cmentarz;protestancki;
14;Dom modlitwy mennonitów Nowe Wymyśle;52.4267342;19.8391816;cmentarz;protestancki;
15;Mizar w Studziance;51.937022;23.213081;cmentarz;muzułmański;
16;Mizar w Lebiedziewie-Zastawku;52.013409;23.573731;cmentarz;muzułmański;
17;Cmentarz prawosławny w Dratowie;51.345692;22.958701;cmentarz;prawosławny;
18;Cmentarz protestancki w Sosnowie;51.398643;21.860561;cmentarz;protestancki;
19;Cmentarz choleryczny w Chomentowie;51.28389;21.18928;cmentarz;epidemiczny;
20;Cmentarz twierdzy iwangorodzkiej;51.575629;21.813483;cmentarz;prawosławny;
21;Kwatera żołnierzy Petlury;51.243972;22.549583;cmentarz;prawosławny;
22;Cmentarz ewangelicko augsburski w Chinowie;51.604052;21.470976;cmentarz;protestancki;
23;Cmentarz protestancki w Końskowoli;51.415542;22.05721;cmentarz;protestancki;
24;Dawny cmentarz parafialny w Garbowie;51.347868;22.337691;cmentarz;katolicki;
25;Dawny cmentarz parafialny w Rykach;51.6306624;21.939619;cmentarz;katolicki;
26;Cmentarz prawosławny na Górce w Chełmie;51.133116;23.480936;cmentarz;prawosławny;
27;Mogiłki w Walinnie;51.834204;22.996076;cmentarz;epidemiczny;
28;Cmentarz epidemiczny i prawosławny w Rudnie;51.744985;22.944535;cmentarz;prawosławny;
29;Cmentarz prawosławny w Cycowie;51.304165;23.122398;cmentarz;prawosławny;
30;Cmentarz protestancki w Kozienicach;51.5724383;21.570101;cmentarz;protestancki;
31;Cmentarz prawosławny w Łopienniku Dolnym;51.05313;23.095576;cmentarz;prawosławny;
32;Cmentarz prawosławny w Czułczycach;51.21683;23.459365;cmentarz;prawosławny;
33;Cmentarz protestancki w Karolinie;51.30018;21.548241;cmentarz;protestancki;
34;Cmentarz protestancki w Józefowie Dużym;51.71763;22.323807;cmentarz;protestancki;
35;Cmentarz protestancki w Leokadiowie;51.409406;21.782078;cmentarz;protestancki;
36;Cmentarz protestancki w Justynowie;51.472669;22.394986;cmentarz;protestancki;
37;Cmentarz protestancki w Kadłubku;51.10526;21.507107;cmentarz;protestancki;
38;Cmentarz prawosławny w Opolu Lubelskim;51.160561;21.976089;cmentarz;prawosławny;
39;Cmentarz w Witowicach;51.408924;22.074042;cmentarz;epidemiczny;
40;Cmentarz epidemiczny w Zwichoście;50.797757;21.851331;cmentarz;epidemiczny;
41;Cmentarz w Stoczku Łukowskim;51.957424;21.969756;cmentarz;katolicki;
42;Stary cmentarz w Bobrownikach;51.555782;21.932698;cmentarz;katolicki;
43;Lapidarium w Siedlcach;52.171254;22.271506;cmentarz;protestancki;
44;Cmentarz prawosławny w Strzelcach;50.976832;23.800457;cmentarz;prawosławny;
45;Cmentarz grekokatolicki w Buśnie;50.961941;23.733083;cmentarz;katolicki;
46;Cmentarz protestancki w Cycowie;51.301562;23.120939;cmentarz;protestancki;
47;Cmentarz epidemiczny w Wodyniach;52.047938;21.961709;cmentarz;epidemiczny;
48;Cmentarz (kurhan) epidemiczny w Broku;52.699209;21.854378;cmentarz;epidemiczny;
49;Zabytkowy cmentarz - Wszechświęte;50.865588;21.42587;cmentarz;katolicki;
50;Cmentarz protestancki w Sobieszczanach;51.064971;22.370049;cmentarz;protestancki;
51;Cmentarz prawosławny w Kosyniu;51.377982;23.571185;cmentarz;prawosławny;
52;Wyryki-Adampol - cmentarz prawosławny;51.556782;23.43036;cmentarz;prawosławny;
53;Wyryki-Wola - cmentarz prawosławny;51.563772;23.356267;cmentarz;prawosławny;
54;Lubień - cmentarz prawosławny;51.541504;23.301247;cmentarz;prawosławny;
55;Cmentarz epidemiczny w Puławach;51.399905;21.977939;cmentarz;epidemiczny;
56;Cmentarz unicki w Chotyczach;52.191667;22.783284;cmentarz;protestancki;
57;Stary cmentarz w Wisznicach;51.784568;23.215116;cmentarz;katolicki;
58;Cmentarz protestancki w Kolonii Giżyce;51.58545;22.370265;cmentarz;protestancki;
59;Rossosz - dawny cmentarz unicki i katolicki;51.862672;23.141347;cmentarz;katolicki;
60;Rossosz - cmentarz prawosławny;51.861857;23.141668;cmentarz;prawosławny;
61;Szwedzka mogiła w Zienkach;51.4773868;23.0960624;cmentarz;katolicki;
62;Cmentarz prawosławny w Woli Wereszczyńskiej;51.426307;23.144199;cmentarz;prawosławny;
63;Cmentarz prawosławny w Wereszczynie;51.356775;23.214474;cmentarz;prawosławny;
64;Cmentarz protestancki w Michałowie;51.39792;23.201019;cmentarz;protestancki;
65;Cmentarz protestancki w Dębowcu;51.388361;23.17469;cmentarz;protestancki;
66;Cmentarz prawosławny w Sosnowicy;51.5200395;23.0810308;cmentarz;prawosławny;
67;Mołodiatycze - cmentarz prawosławny;50.809867;23.7021017;cmentarz;prawosławny;
68;Zwoleń - cmentarz epidemiczny;51.3575256;21.5776312;cmentarz;epidemiczny;
69;Nowa Wieś - cmentarz protestancki;51.0936178;21.5366042;cmentarz;protestancki;
70;Góra Kalwaria - cmentarz protestancki;51.9848801;21.1941183;cmentarz;protestancki;
71;Mikówiec - cmentarz protestancki;51.9948036;21.1590886;cmentarz;protestancki;
72;Kępa Zawadowska - cmentarz protestancki;52.151631;21.1293912;cmentarz;protestancki;
73;Kępa Okrzewska - cmentarz protestancki;52.1347129;21.1530697;cmentarz;protestancki;
74;Kania Nowa - cmentarz protestancki;52.5214551;21.1195502;cmentarz;protestancki;
75;Miszory - cmentarz protestancki;52.3445424;20.3238487;cmentarz;protestancki;
76;Piaski Duchowne - cmentarz protestancki;52.3736604;20.3913116;cmentarz;protestancki;
77;Warszawa Bródno - cmentarz epidemiczny;52.2684988;21.0297954;cmentarz;epidemiczny;
78;Nowy Dwór Mazowiecki - cmentarz protestancki;52.4255751;20.7141799;cmentarz;protestancki;
79;Wierzbica - cmentarz epidemiczny;51.2570237;21.1037788;cmentarz;epidemiczny;
80;Katarzynów - cmentarz epidemiczny i wojenny;51.5654532;21.5275919;cmentarz;epidemiczny;
81;Agatówka - cmentarz wojenny i epidemiczny;50.6029066;22.0050573;cmentarz;epidemiczny;
82;Cmentarz protestancki w Czerwińsku nad Wisłą;52.3951459;20.3262091;cmentarz;protestancki;
83;Stupsk - stary cmentarz parafialny;53.02045;20.4303861;cmentarz;katolicki;
84;Cmentarz protestancki w Dębówce;52.1814582;20.3394055;cmentarz;protestancki;
85;Cmentarz protestancki w Elżbietowie;52.1796096;20.3684163;cmentarz;protestancki;
86;Brzozów Stary - kaplica grobowa;52.2953178;20.034256;cmentarz;katolicki;
87;Brzozów Stary - stary cmentarz parafialny;52.2938677;20.0313913;cmentarz;katolicki;
88;Iłów - cmentarz protestancki;52.340544;20.0367344;cmentarz;protestancki;
89;Łady - cmentarz protestancki;52.366982;20.076341;cmentarz;protestancki;
90;Cmentarz protestancki w Płatkownicy;52.673244;21.8404336;cmentarz;protestancki;
91;Sojkówek - cmentarz protestancki;52.65524;21.8276629;cmentarz;protestancki;
92;Władysławów - cmentarz protestancki;52.329661;20.353924;cmentarz;protestancki;
93;Paproć Duża - cmentarz protestancki;52.8666053;22.1452438;cmentarz;protestancki;
94;Wilkowice - cmentarz protestancki;51.8883964;16.5262158;cmentarz;protestancki;
95;Warszawa - cmentarz staroobrzędowców;52.2458415;21.0662591;cmentarz;katolicki;
